Location_Number,Site_Number,LOCATION,Road_Num,ROADNAME,ROADTYPE,ROADCLASS,LHA_Name,LHA_Type,District,County,LHA Name,GOR,UrbanRural,CP Number,OSGRX,OSGRY,Direction_of_Lane_1,StreetMap,GoogleMap,SitePhoto,STARTDATE_Operational_Date,Dead_from,Decommissioned,Active,Valid_From,Valid_To,Temp_Valid_From,Temp_Valid_To,SIM_Card_Number,Supplier,Fixed_IP,BT_Number,ClassTable,Last_Class_Table_Upload_Date,Uploaded_by,Contact_Period,Power_Source,CLASSIFIER,Start_Classifier,Serial_no_of_unit,Asset_Num,AssetValue,Test_Site,WIM_Site,Cycle_Sensors,One_or_two_dirs,Cycle_Site,SPEEDSITE,Include_in_Publication,SpeedLimitMPH,Last RSI speed limit MPH,Traffic Calming,Traffic Calming measures,Speed_Comments,Date_RSI_Checked,RSI_Date,RSI_CheckedBy,RSI_observations ,General_Comments,Published_if_active,Procurement_site,London_National,Country,RSI_month_1,RSI_month_2,Last_DfT_contact,LAT,LONG,EMU-3_unit,Date_unit_changed_to_EMU-3,Initial STRATA,STRATA_GF,STRATA_EF,H&S concerns,Conversion,Tranches,Tranches_Valid_from
361,361,"Middleton Road, Carshalton",C,Middleton Road,Minor,U,Sutton,London Borough,Sutton London Boro,LONDON,Sutton,London,,942923,526747,166828,S,Map of 361,Map of 361,Photo of 361,43930,,NO,Yes,43931,,,,07788960612,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,43930,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,52491,,,No,No,Yes,Two,,,,,30mph,,,,,,,,,,,National,England,March,September,,51.38635124,-0.179885137,Yes,,S_14,GF_08  ,EF_10,,,,
367,367,"Shepherds Hill, Haringey",C,Shepherds Hill,Minor,C,Haringey,London Borough,Haringey London Boro,LONDON,Haringey,London,,942405,528983,188175,,Map of 367,Map of 367,Photo of 367,44027,,NO,Yes,44028,,,,07341578304,Vodafone (CS Calloff Contract),N,No,EMU-3 Hopper,44027,Q-Free,,6V Battery - Solar,EMU-3,EMU-3,52600,,,No,No,Yes,Two,,,,20,20mph,No,,,,,,,,,,,,December,June,,51.57769,-0.140006,Yes,,S_14,GF_08  ,EF_10,,,,
769,769,Rotherhithe,B205,Brunel Road,Minor,B,Southwark,London Borough,Southwark London Boro,LONDON,,London,,900110,535258,179722,S,Map of 769,Map of 769,Photo of 769,42375,,NO,Yes,,,,,07747901837,Vodafone (CS Calloff Contract),N,No,EMU3 Hopper,42312,TDC,00-23,6V Battery - Solar,EMU-3,EMU-3,50364,0,,No,No,Yes,Two,-,No,N,20,20,No,None,,42375,,NB,,New London Site,Yes,Yes,National,London,June,December,,51.50026,-0.05275,Yes,,S_13,GF_07,EF_10,,,,
770,770,B470 Iver Lane,B470,Iver Lane,Minor,B,Hillingdon,London Borough,Hillingdon London Boro,LONDON,,London,,900111,505072,182285,W,Map of 770,Map of 770,Photo of 770,42375,,NO,Yes,,,,,07747901844,Vodafone (CS Calloff Contract),N,No,EMU3 Hopper,43347,Q-Free,00-23,6V Battery - Solar,EMU-3,EMU-3,50367,0,,No,No,Yes,Two,-,No,N,30,30,No,None,,42408,,NB,,New London Site,Yes,Yes,National,London,April,October,,51.529709,-0.48668515,Yes,,S_13,GF_07,EF_10,,,,
775,775,B283 Traps Lane,B283,Traps Lane,Minor,B,Kingston upon Thames,London Borough,Kingston upon Thames London Boro,LONDON,,London,,"Close to 942889, but not identical",521133,169552,S,Map of 775,Map of 775,Photo of 775,42446,,NO,Yes,,,,,07469919911,Vodafone (ccuk),Y,No,EMU3 Hopper,,,00-01 & 08-18,6V Battery - Solar,EMU-3,EMU-3,50607,0,,No,No,Yes,Two,-,No,N,30,30,Yes,Speed Camara at ATC Location,Speed Camera at exact location of ATC,42446,,NB,,New London Site,Yes,Yes,National,London,May,November,,51.412059,-0.25961899,Yes,,S_13,GF_07,EF_10,,,,
776,776,"Harmondsworth Road, West Drayton",C,Harmondsworth Road,Minor,C,Hillingdon,London Borough,Hillingdon London Boro,LONDON,,London,,900004,506364,178339,N,Map of 776,Map of 776,Photo of 776,42220,,NO,Yes,,,,,07919489353,Vodafone (CS Calloff Contract),N,No,EMU3 Hopper,,,00-23,6V Battery - Solar,EMU-3,EMU-3,50055,,,No,No,Yes,Two,-,No,Y,30,30mph,No,None,Small Cycle Lane in both lanes - Good FFS Site,42433,,NB,,Replacement for London Site 39 - Dual Running,Yes,Yes,National,London,April,October,,51.493999,-0.46925611,Yes,,S_14,GF_08,EF_10,,,,
777,777,Kensington,C,St Ann's Road,Minor,C,Kensington and Chelsea,London Borough,Kensington and Chelsea London Boro,LONDON,,London,,"Close to 900015, but not identical",523865,180588,S,Map of 777,Map of 777,Photo of 777,42220,,NO,Yes,,,,,07919489341,Vodafone (CS Calloff Contract),N,No,EMU3 Hopper,,,00-23,6V Battery - Solar,EMU-3,EMU-3,50061,,,No,No,Yes,Two,-,No,N,30,30,No,None,,42397,,NB,,Replacement for London Site 54,Yes,Yes,National,London,April,October,42947,51.510652,-0.21649346,Yes,,S_14,GF_08,EF_10,,,,
780,780,Commonside East,C,Commonside East,Minor,C,Merton,London Borough,Merton London Boro,LONDON,,London,,900112,528858,168415,E,Map of 780,Map of 780,Photo of 780,42436,,NO,Yes,,,,,07469919921,Vodafone (ccuk),Y,No,EMU3 Hopper,,,00-23,6V Battery - Solar,EMU-3,EMU-3,50608,0,,No,No,Yes,Two,-,No,N,20,20,Yes,Speed Bumps,,42436,,NB,,New London Site,Yes,Yes,National,London,May,November,,51.40014,-0.14901438,Yes,,S_14,GF_08,EF_10,,,,
786,786,Lilleshall Road,C,Lilleshall Road,Minor,C,Merton,London Borough,Merton London Boro,LONDON,,London,,803855,526585,167391,E,Map of 786,Map of 786,Photo of 786,42446,,NO,Yes,,,,,07469919924,Vodafone (ccuk),Y,No,EMU3 Hopper,,,00-23,6V Battery - Solar,EMU-3,EMU-3,50606,,,No,No,Yes,Two,-,No,N,20,20,Yes,Speed Bumps,,42445,,NB,,New London Site,Yes,Yes,National,London,May,November,,51.391448,-0.18203651,Yes,,S_14,GF_08,EF_10,,,,
788,788,Lambs Croft Ave,Unclassified,Lambs Croft Avenue,Minor,U,Lewisham,London Borough,Lewisham London Boro,LONDON,,London,,900113,541720,172262,E,Map of 788,Map of 788,Photo of 788,42438,,NO,Yes,,,,,07469919872,Vodafone (ccuk),Y,No,EMU3 Hopper,,,00-23,6V Battery - Solar,EMU-3,EMU-3,50660,,,No,No,Yes,Two,-,No,N,20,30mph,Yes,Speed Bumps,,42438,,NB,,New London Site,Yes,Yes,National,London,May,November,,51.431644,0.037297611,Yes,,S_14,GF_08,EF_10,,,,
789,789,Hare and Billet Road ,C,Hare and Billet Road ,Minor,C,Lewisham,London Borough,Lewisham London Boro,LONDON,,London,,900114,538997,176370,W,Map of 789,Map of 789,Photo of 789,42444,,NO,Yes,,,,,07469919919,Vodafone (ccuk),Y,No,EMU3 Hopper,,,00-23,6V Battery - Solar,EMU-3,EMU-3,50655,,,No,No,Yes,Two,-,No,N,30,20,Yes,Speed Bumps,,42444,,NB,,New London Site,Yes,Yes,National,London,May,November,,51.469233,-0.000235296,Yes,,S_14,GF_08,EF_10,,,,
